aoi_id,scene_id,tile,sensing_date,ndvi_mean,ndmi_mean,cloud_filtered_pct,status,notes
okanagan_corridor,S2A_MSIL2A_20260408T190831_N0512_R013_T11UMR_20260409T013409,T11UMR,2026-04-08,0.257,-0.3883,0.02,processed,
okanagan_corridor,S2A_MSIL2A_20260425T185831_N0512_R113_T10UGB_20260426T030724,T10UGB,2026-04-25,,,0.0,skipped_no_clear_pixels,No clear AOI pixels after SCL mask
okanagan_corridor,S2A_MSIL2A_20260425T185831_N0512_R113_T10UGV_20260426T030724,T10UGV,2026-04-25,0.2758,-0.4421,0.03,processed,
okanagan_corridor,S2A_MSIL2A_20260425T185831_N0512_R113_T11ULQ_20260426T030724,T11ULQ,2026-04-25,0.2763,-0.4421,0.03,processed,
okanagan_corridor,S2A_MSIL2A_20260425T185831_N0512_R113_T11ULS_20260426T030724,T11ULS,2026-04-25,0.3064,-0.4423,0.03,processed,
okanagan_corridor,S2A_MSIL2A_20260425T185831_N0512_R113_T11UMS_20260426T030724,T11UMS,2026-04-25,,,0.0,skipped_no_clear_pixels,No clear AOI pixels after SCL mask
okanagan_corridor,S2A_MSIL2A_20260511T191831_N0512_R056_T10UFA_20260512T033111,T10UFA,2026-05-11,0.2275,-0.4779,0.16,processed,
okanagan_corridor,S2A_MSIL2A_20260511T191831_N0512_R056_T10UFV_20260512T033111,T10UFV,2026-05-11,,,0.0,skipped_no_clear_pixels,No clear AOI pixels after SCL mask
okanagan_corridor,S2A_MSIL2A_20260620T191831_N0512_R056_T10UFV_20260621T032315,T10UFV,2026-06-20,,,0.0,skipped_no_clear_pixels,No clear AOI pixels after SCL mask
okanagan_corridor,S2A_MSIL2A_20260620T191831_N0512_R056_T10UGA_20260621T032315,T10UGA,2026-06-20,0.3416,-0.4261,0.01,processed,
okanagan_corridor,S2B_MSIL2A_20260101T190709_N0511_R013_T11UMS_20260101T222840,T11UMS,2026-01-01,,,0.0,skipped_no_clear_pixels,No clear AOI pixels after SCL mask
okanagan_corridor,S2B_MSIL2A_20260114T191639_N0511_R056_T10UFA_20260114T225130,T10UFA,2026-01-14,0.1446,-0.4902,0.12,processed,
